"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"1",1,1,1,0,1,0,1,"1",0,0
"2",1,2,2,1,2,0,1,"1",0,0
"3",1,3,3,1,3,1,1,"1",0,0
"4",1,4,4,1,4,2,1,"1",0,0
"5",1,5,5,2,5,2,1,"1",0,0
"6",1,6,6,3,6,3,1,"1",0,0
"7",1,7,7,3,7,3,1,"1",0,0
"8",1,8,8,3,8,4,1,"1",0,0
"9",1,9,9,3,9,4,1,"1",0,0
"10",1,10,10,3,10,4,1,"1",0,0
"11",1,11,11,4,11,5,1,"1",0,0
"12",1,12,12,4,12,6,0.678845299424318,"1",0,0
"13",1,13,13,4,13,7,0.427244182193295,"1",0,0
"14",1,14,14,4,14,7,0.438986387114714,"1",0,0
"15",1,15,15,4,15,7,0.448609503706283,"1",0,0
"16",1,16,16,4,16,8,0.273321678292298,"1",0,0
"17",1,17,17,4,17,8,0.281654157684785,"1",0,0
"18",1,18,18,4,18,9,0.165150493524897,"1",0,0
"19",1,19,19,5,19,9,0.313027840669651,"1",0,0
"20",1,20,20,5,20,9,0.319984217601011,"1",0,0
"21",1,21,21,5,21,10,0.197703366862106,"1",0,0
"22",1,22,22,5,22,11,0.117124526339613,"1",0,0
"23",1,23,23,5,23,11,0.121658904357758,"1",0,0
"24",1,24,24,5,24,11,0.12578642463894,"1",0,0
"25",1,25,25,6,25,12,0.140713524852694,"1",0,0
"26",1,26,26,6,26,12,0.144990074029447,"1",0,0
"27",1,27,27,6,27,12,0.148914673178766,"1",0,0
"28",1,28,28,7,28,12,0.258917134251534,"1",0,0
"29",1,29,29,7,29,13,0.167197302320114,"1",0,0
"30",1,30,30,8,30,14,0.180408182356662,"1",0,0
"31",1,31,31,9,31,14,0.292973063925933,"1",0,0
"32",1,32,32,9,32,14,0.297382297769063,"1",0,0
"33",1,33,33,9,33,14,0.301455308284955,"1",0,0
"34",1,34,34,9,34,14,0.305229099828076,"1",0,0
"35",1,35,35,9,35,14,0.308735451605788,"1",0,0
"36",1,36,36,9,36,14,0.312001805122053,"1",0,0
"37",1,37,37,9,37,14,0.315051977591814,"1",0,0
"38",1,38,38,9,38,14,0.317906739627829,"1",0,0
"39",1,39,39,9,39,14,0.320584286237934,"1",0,0
"40",1,40,40,10,40,14,0.464214312771032,"1",0,0
"41",1,41,41,10,41,14,0.466534382173779,"1",0,0
"42",1,42,42,10,42,15,0.339799816973947,"1",0,0
"43",1,43,43,10,43,15,0.342167059885356,"1",0,0
"44",1,44,44,10,44,15,0.34440420944994,"1",0,0
"45",1,45,45,10,45,15,0.346521711706107,"1",0,0
"46",1,46,46,10,46,15,0.348528923190156,"1",0,0
"47",1,47,47,10,47,15,0.350434249328899,"1",0,0
"48",1,48,48,11,48,15,0.490821315415244,"1",0,0
"49",1,49,49,11,49,16,0.365781771776431,"1",0,0
"50",1,50,50,11,50,16,0.367597267485303,"1",0,0
"51",1,51,51,11,51,16,0.369327499926291,"1",0,0
"52",1,52,52,11,52,16,0.370978345438055,"1",0,0
"53",1,53,53,11,53,16,0.372555152032247,"1",0,0
"54",1,54,54,12,54,16,0.510067527557534,"1",0,0
"55",1,55,55,12,55,17,0.386712204046947,"1",0,0
"56",1,56,56,13,56,17,0.52209332655244,"1",0,0
"57",1,57,57,13,57,17,0.523423252075446,"1",0,0
"58",1,58,58,13,58,17,0.524696925741645,"1",0,0
"59",1,59,59,13,59,17,0.525917853968835,"1",0,0
"60",1,60,60,13,60,17,0.527089256865538,"1",0,0
"61",1,61,61,13,61,18,0.405500815791619,"1",0,0
"62",1,62,62,13,62,18,0.406786833398465,"1",0,0
"63",1,63,63,14,63,18,0.539216037064631,"1",0,0
"64",1,64,64,15,64,18,0.686120466415932,"1",0,0
"65",1,65,65,15,65,18,0.686911504131262,"1",0,0
"66",1,66,66,16,66,18,0.842233567985788,"1",0,0
"67",1,67,67,17,67,19,0.845479570462381,"1",0,0
"68",1,68,68,17,68,19,0.845890043794173,"1",0,0
"69",1,69,69,17,69,19,0.846285505353953,"1",0,0
"70",1,70,70,18,70,19,1,"1",0,0
"71",1,71,71,18,71,20,0.849657695339338,"1",0,0
"72",1,72,72,18,72,20,0.850033214196307,"1",0,0
"73",1,73,73,18,73,21,0.708333428588736,"1",0,0
"74",1,74,74,18,74,22,0.578704723841687,"1",0,0
"75",1,75,75,18,75,22,0.579639271081656,"1",0,0
"76",1,76,76,18,76,23,0.464767853374279,"1",0,0
"77",1,77,77,18,77,23,0.465835643184348,"1",0,0
"78",1,78,78,18,78,24,0.366782469825,"1",0,0
"79",1,79,79,18,79,25,0.283496240049342,"1",0,0
"80",1,80,80,18,80,25,0.284618970066786,"1",0,0
"81",1,81,81,18,81,25,0.285709321424173,"1",0,0
"82",1,82,82,18,82,26,0.217321662562848,"1",0,0
"83",1,83,83,18,83,26,0.218335821738446,"1",0,0
"84",1,84,84,18,84,27,0.163392205387585,"1",0,0
"85",1,85,85,18,85,27,0.164297251863315,"1",0,0
"86",1,86,86,18,86,28,0.121046579170495,"1",0,0
"87",1,87,87,18,87,28,0.121826382771754,"1",0,0
"88",1,88,88,19,88,29,0.127694370307448,"1",0,0
"89",1,89,89,20,89,29,0.179441143500621,"1",0,0
"90",1,90,90,21,90,29,0.244071451803792,"1",0,0
"91",1,91,91,22,91,29,0.322028142300241,"1",0,0
"92",1,92,92,22,92,29,0.323049801637694,"1",0,0
"93",1,93,93,23,93,30,0.329739158762729,"1",0,0
"94",1,94,94,24,94,31,0.336107532694731,"1",0,0
"95",1,95,95,24,95,31,0.337156909976616,"1",0,0
"96",1,96,96,24,96,31,0.338179854713866,"1",0,0
"97",1,97,97,24,97,31,0.339177353889131,"1",0,0
"98",1,98,98,25,98,31,0.429195300440349,"1",0,0
"99",1,99,99,26,99,31,0.53011195998496,"1",0,0
"100",1,100,100,26,100,31,0.530941190070131,"1",0,0
"101",2,1,1,0,1,0,1,"2",0,0
"102",2,2,2,0,2,0,1,"2",0,0
"103",2,3,3,0,3,0,1,"2",0,0
"104",2,4,4,0,4,0,1,"2",0,0
"105",2,5,5,1,5,0,1,"2",0,0
"106",2,6,6,2,6,0,0.438578026081,"2",0,0
"107",2,7,7,3,7,0,0.192684751948999,"2",0,0
"108",2,8,8,4,8,0,0.0832645166635505,"2",0,0
"109",2,9,9,4,9,0,0.0889730117018133,"2",0,0
"110",2,10,10,5,10,1,0.14323490752467,"2",0,0
"111",2,11,11,6,11,2,0.183647496958369,"2",0,0
"112",2,12,12,6,12,2,0.193930852282411,"2",0,0
"113",2,13,13,6,13,2,0.202396015972959,"2",0,0
"114",2,14,14,7,14,2,0.105532219102046,"2",0,0
"115",2,15,15,7,15,2,0.111017105512186,"2",0,0
"116",2,16,16,8,16,2,0.0565302771674043,"2",0,0
"117",2,17,17,8,17,2,0.0598452989566408,"2",0,0
"118",2,18,18,9,18,2,0.029940117436413,"2",1,1
"119",3,1,1,0,1,0,1,"3",0,0
"120",3,2,2,0,2,0,1,"3",0,0
"121",3,3,3,0,3,0,1,"3",0,0
"122",3,4,4,0,4,0,1,"3",0,0
"123",3,5,5,1,5,1,1,"3",0,0
"124",3,6,6,1,6,1,1,"3",0,0
"125",3,7,7,1,7,1,1,"3",0,0
"126",3,8,8,1,8,2,1,"3",0,0
"127",3,9,9,2,9,2,1,"3",0,0
"128",3,10,10,3,10,2,1,"3",0,0
"129",3,11,11,4,11,3,1,"3",0,0
"130",3,12,12,4,12,3,1,"3",0,0
"131",3,13,13,5,13,3,0.670896238995094,"3",0,0
"132",3,14,14,5,14,3,0.675705848703095,"3",0,0
"133",3,15,15,6,15,3,0.425556116419129,"3",0,0
"134",3,16,16,6,16,3,0.43165830931379,"3",0,0
"135",3,17,17,6,17,4,0.706629709905559,"3",0,0
"136",3,18,18,6,18,5,1,"3",0,0
"137",3,19,19,6,19,5,1,"3",0,0
"138",3,20,20,6,20,5,1,"3",0,0
"139",3,21,21,6,21,5,1,"3",0,0
"140",3,22,22,6,22,5,1,"3",0,0
"141",3,23,23,6,23,5,1,"3",0,0
"142",3,24,24,6,24,5,1,"3",0,0
"143",3,25,25,6,25,5,1,"3",0,0
"144",3,26,26,7,26,6,1,"3",0,0
"145",3,27,27,7,27,6,1,"3",0,0
"146",3,28,28,8,28,7,1,"3",0,0
"147",3,29,29,8,29,8,1,"3",0,0
"148",3,30,30,9,30,8,1,"3",0,0
"149",3,31,31,9,31,8,1,"3",0,0
"150",3,32,32,9,32,9,1,"3",0,0
"151",3,33,33,9,33,9,1,"3",0,0
"152",3,34,34,10,34,9,1,"3",0,0
"153",3,35,35,11,35,9,0.791336780100661,"3",0,0
"154",3,36,36,12,36,9,0.604065531287579,"3",0,0
"155",3,37,37,13,37,9,0.445463852264774,"3",0,0
"156",3,38,38,13,38,9,0.447980036931723,"3",0,0
"157",3,39,39,13,39,9,0.4503363371557,"3",0,0
"158",3,40,40,13,40,9,0.452547567072664,"3",0,0
"159",3,41,41,14,41,9,0.325469886817777,"3",0,0
"160",3,42,42,15,42,10,0.339799816973947,"3",0,0
"161",3,43,43,16,43,11,0.352683312388006,"3",0,0
"162",3,44,44,16,44,11,0.355173305462916,"3",0,0
"163",3,45,45,17,45,11,0.254929959487734,"3",0,0
"164",3,46,46,18,46,11,0.178171764825236,"3",0,0
"165",3,47,47,18,47,11,0.180290786395844,"3",0,0
"166",3,48,48,18,48,12,0.270912427802801,"3",0,0
"167",3,49,49,18,49,13,0.384918263586875,"3",0,0
"168",3,50,50,18,50,14,0.520146436295395,"3",0,0
"169",3,51,51,19,51,14,0.39721779028883,"3",0,0
"170",3,52,52,20,52,14,0.295931884175417,"3",0,0
"171",3,53,53,20,53,15,0.408728911982303,"3",0,0
"172",3,54,54,20,54,15,0.410856481501148,"3",0,0
"173",3,55,55,20,55,15,0.412885634633891,"3",0,0
"174",3,56,56,20,56,15,0.414823067184775,"3",0,0
"175",3,57,57,20,57,15,0.416674879571191,"3",0,0
"176",3,58,58,20,58,16,0.547121067211056,"3",0,0
"177",3,59,59,20,59,16,0.548641723868639,"3",0,0
"178",3,60,60,21,60,16,0.429120173485369,"3",0,0
"179",3,61,61,21,61,16,0.430799262819459,"3",0,0
"180",3,62,62,21,62,16,0.432410446807022,"3",0,0
"181",3,63,63,22,63,17,0.440813252552262,"3",0,0
"182",3,64,64,23,64,18,0.448613743634755,"3",0,0
"183",3,65,65,23,65,19,0.573683273303889,"3",0,0
"184",3,66,66,24,66,20,0.579639271081656,"3",0,0
"185",3,67,67,24,67,20,0.581046761828747,"3",0,0
"186",3,68,68,25,68,20,0.466027368740173,"3",0,0
"187",3,69,69,25,69,20,0.467618225451489,"3",0,0
"188",3,70,70,25,70,20,0.469150286005629,"3",0,0
"189",3,71,71,25,71,21,0.590603886168253,"3",0,0
"190",3,72,72,25,72,21,0.591834208542994,"3",0,0
